団体コード	都道府県名	性別	総数	0～4	5～9	10～14	15～19	20～24	25～29	30～34	35～39	40～44	45～49	50～54	55～59	60～64	65～69	70～74	75～79	80～84	85～89	90～94	95～99	100～
360007	徳島県	男	367282	14613	15485	16778	17737	17442	18028	20725	23197	26072	22732	22370	24240	28923	33227	21436	17880	14734	8279	2733	532	62
370002	香川県	男	483791	20788	22204	23515	24446	23396	24806	27466	32232	37905	30938	28399	29620	33504	41935	27659	22051	17912	10532	3641	703	111
380008	愛媛県	男	670901	27734	29909	31955	34418	31762	32230	36804	42616	49836	41841	41736	43265	49406	58277	39584	32423	25556	15148	5188	1061	117
390003	高知県	男	348866	13131	14671	15744	17633	15730	15057	18421	21873	25616	20903	21775	22740	26294	32290	21897	17399	14786	8945	3129	625	67
400009	福岡県	男	2433567	117823	120799	118530	124967	132360	136201	156565	171936	190183	160591	146409	147917	168917	187457	126293	100004	72090	38586	13116	2458	303
410004	佐賀県	男	399230	18811	20255	20986	22439	20259	19912	23141	25638	27041	23890	24564	26600	31001	31692	20153	17439	13959	8019	2845	518	44
420000	長崎県	男	661019	29395	30940	32677	34992	30503	31598	35715	39276	44741	40441	42107	46502	53913	55639	35454	31771	25415	14011	4865	887	112
430005	熊本県	男	855394	40832	42114	42776	44654	40542	42332	49965	54180	57485	50516	52896	57559	65722	68240	44855	39860	33074	19449	6691	1314	159
440001	大分県	男	561742	24417	25989	26507	28327	27541	28110	31757	36589	39584	33516	32992	36154	42562	47695	32656	27047	22210	12814	4261	896	86
450006	宮崎県	男	533096	24697	26574	26874	28143	24130	24473	29473	33599	35933	30681	32451	36742	42411	44537	29109	25555	21201	11909	3691	785	93
460001	鹿児島県	男	790125	37426	39516	39842	40048	33339	36353	44231	48044	50475	45613	49515	57479	65944	64241	42066	38025	31728	18421	6326	1288	141
470007	沖縄県	男	720548	43288	43701	42928	43023	39794	41521	46280	49637	54967	47617	45439	46890	50396	42512	26202	25324	18245	8883	2888	751	124
